id,type,group,name
0,5,gyro,xRaw
1,5,gyro,yRaw
2,5,gyro,zRaw
3,7,gyro,xVariance
4,7,gyro,yVariance
5,7,gyro,zVariance
6,3,pwm,m1_pwm
7,3,pwm,m2_pwm
8,3,pwm,m3_pwm
9,3,pwm,m4_pwm
10,7,ctrlINDI,rate_d[1]
11,2,crtp,txRate
12,7,pm,vbat
13,2,pm,vbatMV
14,7,pm,extVbat
15,2,pm,extVbatMV
16,7,pm,extCurr
17,7,pm,chargeCurrent
18,4,pm,state
19,1,pm,batteryLevel
20,1,radio,rssi
21,1,radio,isConnected
22,4,sys,canfly
23,4,sys,armed
24,1,sitAw,FFAccWZDetected
25,1,sitAw,ARDetected
26,1,sitAw,TuDetected
27,2,extrx,ch0
28,2,extrx,ch1
29,2,extrx,ch2
30,2,extrx,ch3
31,2,extrx,thrust
32,7,extrx,roll
33,7,extrx,pitch
34,7,extrx,yaw
35,3,memTst,errCntW
36,2,range,front
37,2,range,back
38,2,range,up
39,2,range,left
40,2,range,right
41,2,range,zrange
42,7,ext_pos,X
43,7,ext_pos,Y
44,7,ext_pos,Z
45,2,locSrvZ,tick
46,7,pid_attitude,roll_outP
47,7,pid_attitude,roll_outI
48,7,pid_attitude,roll_outD
49,7,pid_attitude,pitch_outP
50,7,pid_attitude,pitch_outI
51,7,pid_attitude,pitch_outD
52,7,pid_attitude,yaw_outP
53,7,pid_attitude,yaw_outI
54,7,pid_attitude,yaw_outD
55,7,pid_rate,roll_outP
56,7,pid_rate,roll_outI
57,7,pid_rate,roll_outD
58,7,pid_rate,pitch_outP
59,7,pid_rate,pitch_outI
60,7,pid_rate,pitch_outD
61,7,pid_rate,yaw_outP
62,7,pid_rate,yaw_outI
63,7,pid_rate,yaw_outD
64,7,sensfusion6,qw
65,7,sensfusion6,qx
66,7,sensfusion6,qy
67,7,sensfusion6,qz
68,7,sensfusion6,gravityX
69,7,sensfusion6,gravityY
70,7,sensfusion6,gravityZ
71,7,sensfusion6,accZbase
72,1,sensfusion6,isInit
73,1,sensfusion6,isCalibrated
74,7,acc,x
